student_i,student_j,college_i,college_j,marks_i,marks_j,marks_diff,outcome_diff,weight
6445,21638,515002_bpc,508502_bpc,31.25,31.5,-0.25,20.0,0.7739593582165798
11159,27098,505402_bpc,503302_bpc,5.0,18.75,-13.75,33.0,0.9547028451288597
31761,7438,506302_bpc,505501_mpc,3.75,10.0,-6.25,3.0,0.9460768250726042
6227,22826,502005_hec,502202_bpc,38.25,40.0,-1.75,-11.442871,0.8528302694213503
9995,1183,507001_mpc,507201_mpc,32.5,22.75,9.75,13.0,0.7958170353860479
28239,30085,514702_bpc,514802_bpc,33.75,26.25,7.5,24.0,0.8304909946192806
22792,30308,514001_mpc,514202_bpc,41.0,44.25,-3.25,-16.0,0.640500848507531
8811,31420,501502_bpc,501801_mpc,30.0,30.75,-0.75,5.0,0.836784040274101
211,14493,505801_mpc,505401_mpc,43.5,55.0,-11.5,-10.0,0.8380901336371935
8424,19698,508701_mpc,508301_mpc,36.5,36.25,0.25,17.0,0.5154659830930063
16964,22040,504903_mec,504504_cec,20.0,23.75,-3.75,27.0,0.9380693206466689
10183,1313,503302_bpc,501601_mpc,72.75,96.25,-23.5,-8.0,0.919462775035313
28871,7769,511402_bpc,514602_bpc,51.5,46.25,5.25,5.0,0.8051101229445707
320,966,508501_mpc,506601_mpc,22.5,10.25,12.25,-3.0,0.8614130272911272
4827,29463,514601_mpc,514702_bpc,32.25,32.5,-0.25,-1.0,0.9226059012938321
1890,5737,502702_bpc,502802_bpc,31.25,32.5,-1.25,-12.0,0.8562156904223628
3973,26679,501903_mec,501904_cec,11.25,16.25,-5.0,-5.0,0.8724571582209418
2270,12701,504504_cec,504401_mpc,16.25,23.75,-7.5,2.0,0.8244145589838308
26869,37642,512402_bpc,511901_mpc,41.0,36.25,4.75,-25.0,0.761471963695081
8749,34284,505402_bpc,506002_bpc,42.5,46.25,-3.75,-1.0,0.8922602665301562
18858,15280,502802_bpc,502504_cec,26.0,22.5,3.5,-13.0,0.9473263720467587
24729,1999,505902_bpc,505102_bpc,40.0,42.5,-2.5,-21.0,0.8544282629181436
31031,10612,505901_mpc,505601_mpc,46.75,46.25,0.5,-6.0,0.8163665603191839
23913,20131,511801_mpc,514201_mpc,55.0,48.75,6.25,-3.0,0.9160901214386954
10148,27162,503002_bpc,502505_hec,19.5,22.5,-3.0,-36.0,0.9390255394089797
12731,18655,511801_mpc,513504_cec,17.5,13.75,3.75,-5.0,0.9378350846447023
13902,19865,508701_mpc,508301_mpc,63.75,60.5,3.25,-23.0,0.9760414633529527
1999,32617,505102_bpc,505802_bpc,42.5,41.5,1.0,2.0,0.8527127387970564
4344,3984,508101_mpc,507401_mpc,27.75,23.75,4.0,-2.0,0.9533480822645178
17193,10517,510102_bpc,512201_mpc,36.0,31.5,4.5,45.0,0.7764061633276238
24967,8044,514002_bpc,513903_mec,8.75,15.0,-6.25,-4.442871,0.9706441554156628
6970,12320,512502_bpc,512602_bpc,31.25,34.5,-3.25,-34.0,0.806148224645438
1423,14334,507502_bpc,506202_bpc,75.5,92.75,-17.25,12.0,0.9314588925693846
6355,8349,505902_bpc,505402_bpc,38.75,43.75,-5.0,-25.0,0.9215735969654508
21958,18844,502201_mpc,501801_mpc,53.75,52.5,1.25,4.0,0.9728352677770042
9078,34483,505701_mpc,501601_mpc,60.0,101.25,-41.25,-10.0,0.8637006614980997
16325,9613,509001_mpc,508401_mpc,32.5,36.25,-3.75,-7.0,0.6882577974709421
28940,7539,507402_bpc,503202_bpc,63.75,90.0,-26.25,0.0,0.8851662592629522
3010,17234,508102_bpc,507402_bpc,38.25,45.0,-6.75,5.0,0.8530018791785472
1183,21957,507201_mpc,507301_mpc,22.75,23.0,-0.25,21.0,0.8508387744215755
12064,7165,507501_mpc,508001_mpc,58.75,67.5,-8.75,12.0,0.9650217003715407
24019,13957,505301_mpc,505801_mpc,43.5,50.0,-6.5,-8.0,0.7748687807840797
29422,32202,513704_cec,512104_cec,17.5,15.0,2.5,10.0,0.9284225484404542
14195,12242,511402_bpc,511201_mpc,51.25,82.5,-31.25,-5.0,0.8439263613132002
35515,9748,509302_bpc,509002_bpc,22.5,11.25,11.25,7.0,0.9205839285413825
27196,13896,502504_cec,502801_mpc,38.5,35.0,3.5,-21.0,0.46572016360964436
5939,12136,505102_bpc,505101_mpc,33.75,30.25,3.5,-6.0,0.8933070307310927
29849,37149,507301_mpc,506404_cec,19.25,21.25,-2.0,-10.557129,0.9275652591786135
32395,28292,511702_bpc,513403_mec,36.25,36.5,-0.25,-16.0,0.6680743974469209
3802,7453,507002_bpc,506802_bpc,69.5,67.25,2.25,5.0,0.9514112105875278
12457,18940,507701_mpc,508101_mpc,23.75,25.75,-2.0,-16.0,0.9325907313424631
5565,29474,512401_mpc,510101_mpc,4.25,-2.5,6.75,-10.0,0.9850799797380868
111,23509,511202_bpc,513704_cec,4.25,3.75,0.5,13.0,0.9594424276275522
4616,30059,509105_hec,509104_cec,2.0,19.0,-17.0,-8.442871,0.9073392373957542
14646,29928,511202_bpc,511304_cec,30.0,28.75,1.25,18.0,0.7783304885354445
4599,20986,505102_bpc,505902_bpc,61.5,71.25,-9.75,2.0,0.9685507905321943
3617,8167,502801_mpc,502701_mpc,49.75,48.0,1.75,-1.0,0.8777517655443284
18835,35437,514002_bpc,513504_cec,23.0,17.5,5.5,1.4428711,0.939484705209306
9129,18829,514702_bpc,514601_mpc,40.0,38.75,1.25,3.0,0.8696806631126701
15003,19259,506802_bpc,506903_mec,21.25,22.25,-1.0,-5.0,0.8909612427481146
11205,18034,503602_bpc,503102_bpc,44.75,47.25,-2.5,3.0,0.8491491630313445
18235,4459,513201_mpc,513202_bpc,47.5,44.5,3.0,-16.0,0.8648102140316778
22869,23818,511401_mpc,511201_mpc,37.5,42.75,-5.25,23.0,0.7014968105257599
22722,3454,505901_mpc,505102_bpc,29.0,32.5,-3.5,-17.0,0.8635135357510835
2733,1710,507602_bpc,507702_bpc,32.5,22.5,10.0,14.0,0.6971802734824156
6105,4511,505502_bpc,505402_bpc,33.0,36.0,-3.0,11.557129,0.8296703561548122
14200,2222,505301_mpc,505701_mpc,44.75,39.25,5.5,3.0,0.8619482378871745
24091,9703,510101_mpc,512104_cec,31.25,25.25,6.0,3.0,0.8256646875340561
29162,7435,512801_mpc,513903_mec,43.5,41.75,1.75,-52.0,0.9005691465541752
6724,23497,503601_mpc,503904_cec,35.5,30.0,5.5,22.0,0.7379039964309381
14987,4751,503001_mpc,502505_hec,8.25,15.25,-7.0,-53.0,0.875675315351688
25721,5513,510101_mpc,512201_mpc,51.75,55.5,-3.75,2.0,0.9611318567040644
6724,4659,503601_mpc,503301_mpc,35.5,44.0,-8.5,-10.0,0.7217177415912428
21761,409,508401_mpc,515002_bpc,27.0,32.75,-5.75,-3.0,0.8717965438714814
5640,18590,503102_bpc,504001_mpc,28.75,20.0,8.75,9.0,0.8344875868439332
11158,6013,506904_cec,506903_mec,24.25,7.5,16.75,-26.0,0.8495731392039036
5866,6105,505902_bpc,505502_bpc,36.25,33.0,3.25,23.442871,0.81802587290403
2754,38582,505102_bpc,505302_bpc,43.25,43.5,-0.25,18.0,0.9159637881609186
28277,11741,507801_mpc,507501_mpc,33.75,31.25,2.5,-7.0,0.9158880158336391
28277,9509,507801_mpc,508001_mpc,33.75,36.5,-2.75,2.0,0.9286231268733297
26243,19678,505301_mpc,505701_mpc,40.0,48.75,-8.75,-10.442871,0.8110432468134129
21894,31194,511701_mpc,513504_cec,29.5,15.0,14.5,2.0,0.7843547667083861
21360,28905,505701_mpc,505802_bpc,61.5,59.0,2.5,10.0,0.910705394156595
24361,31214,514002_bpc,513601_mpc,31.25,23.75,7.5,-30.0,0.7652491390285396
6271,35036,509104_cec,508904_cec,27.75,25.25,2.5,28.0,0.9387476705103844
1163,35873,508501_mpc,508801_mpc,71.25,85.75,-14.5,5.0,0.9653769619356869
18878,14565,505102_bpc,505802_bpc,35.75,34.0,1.75,0.0,0.7892172079533246
14840,22489,513601_mpc,513903_mec,15.5,10.0,5.5,-4.0,0.951825611572122
25928,36548,514301_mpc,514402_bpc,33.0,30.0,3.0,7.0,0.7834037680946803
37802,16410,506601_mpc,506602_bpc,29.0,25.25,3.75,-8.0,0.8538973172887256
12029,5298,506001_mpc,505203_mec,18.0,25.75,-7.75,-43.0,0.9230490907253026
3130,928,506102_bpc,506302_bpc,54.5,59.75,-5.25,-4.0,0.8925119277204699
26980,21865,512801_mpc,512901_mpc,35.0,35.5,-0.5,-19.0,0.9591262351488656
5101,19557,506404_cec,506701_mpc,21.25,23.0,-1.75,7.0,0.9392234458517624
11339,6478,511702_bpc,511701_mpc,26.5,16.25,10.25,14.0,0.8819154135833375
32981,21821,507302_bpc,506702_bpc,32.5,31.25,1.25,-26.0,0.8667037696666849
4644,3288,505501_mpc,505601_mpc,46.0,60.0,-14.0,8.0,0.8413787626794588
8855,197,502505_hec,507201_mpc,6.75,16.75,-10.0,-30.0,0.933123635823476
30399,28041,502202_bpc,502102_bpc,50.0,62.0,-12.0,-6.0,0.9394424563450625
27800,24378,507601_mpc,507701_mpc,67.5,67.5,0.0,-5.0,0.9495330238553344
10362,21713,509001_mpc,515001_mpc,36.25,32.5,3.75,27.0,0.7103107323096282
7549,23702,505502_bpc,509501_mpc,13.75,9.25,4.5,29.0,0.9308116544930167
21614,8068,504701_mpc,504504_cec,28.75,23.75,5.0,-8.0,0.8528697220793275
19990,13014,506302_bpc,506202_bpc,48.75,50.25,-1.5,-1.0,0.9639350602063631
5001,18801,509105_hec,509401_mpc,18.0,16.25,1.75,3.0,0.9209669659132134
36563,14952,503101_mpc,503202_bpc,21.25,21.0,0.25,-31.0,0.8880597952347575
13602,3835,506404_cec,506904_cec,20.25,22.5,-2.25,13.0,0.9198779896598196
21608,34861,509201_mpc,515001_mpc,71.5,73.75,-2.25,-17.0,0.9615893212910368
16489,32571,506102_bpc,505702_bpc,24.75,25.0,-0.25,31.0,0.898679703291893
26731,1193,502004_cec,501601_mpc,26.25,19.75,6.5,26.0,0.7755370310795444
5194,17087,502701_mpc,503002_bpc,55.0,81.25,-26.25,10.0,0.8470357319491284
10785,10504,511303_mec,511304_cec,18.75,21.25,-2.5,22.0,0.9147888307070283
28291,16398,513103_mec,512801_mpc,72.25,61.25,11.0,8.0,0.9564679974146337
27164,14059,506904_cec,501601_mpc,52.25,105.25,-53.0,4.0,0.755532220824063
27816,22194,511802_bpc,511901_mpc,48.75,42.5,6.25,19.0,0.810684619316825
21729,11153,507302_bpc,507002_bpc,47.25,62.5,-15.25,0.0,0.8691411112025741
13989,6212,503602_bpc,503905_hec,25.0,22.75,2.25,-4.0,0.8474370208061468
29372,30137,506701_mpc,506702_bpc,11.75,18.75,-7.0,6.0,0.9323068822976829
29259,960,502701_mpc,503001_mpc,53.75,46.75,7.0,19.0,0.9383613767731838
22299,26331,513403_mec,513202_bpc,40.5,68.75,-28.25,-24.0,0.5474466402172239
24498,22939,512104_cec,511304_cec,31.0,26.75,4.25,-22.0,0.777802136813545
30619,25592,511202_bpc,511603_mec,28.75,23.0,5.75,5.0,0.8317702456470583
20090,15299,509201_mpc,508501_mpc,26.25,16.5,9.75,-47.0,0.934649056667676
10280,22510,501903_mec,501904_cec,17.0,21.0,-4.0,-43.0,0.9184256582354793
28733,34784,512104_cec,510101_mpc,25.25,16.0,9.25,-27.0,0.8413690756465843
27437,38639,502701_mpc,503001_mpc,39.0,47.5,-8.5,23.0,0.7657043353248207
12144,32139,511201_mpc,511202_bpc,65.25,77.75,-12.5,16.0,0.926140644217896
13024,3173,502702_bpc,503002_bpc,31.25,34.75,-3.5,-12.0,0.8423258696641761
10436,3183,508202_bpc,507402_bpc,47.0,48.0,-1.0,-14.0,0.8324427017570145
2902,36017,508002_bpc,507802_bpc,36.25,32.25,4.0,-1.0,0.9290839598750054
12452,32205,505702_bpc,505802_bpc,72.5,63.75,8.75,-7.0,0.9667538746777884
5371,5206,507601_mpc,505302_bpc,47.75,64.0,-16.25,-37.0,0.7714354905227107
5087,20379,514802_bpc,511902_bpc,16.25,-2.5,18.75,0.0,0.870559432823685
8356,38581,505101_mpc,505502_bpc,36.75,34.25,2.5,-4.0,0.7778273823204506
15860,33708,503802_bpc,504202_bpc,44.75,47.5,-2.75,-12.0,0.9307626086346984
2432,6779,507801_mpc,507601_mpc,8.0,10.0,-2.0,34.0,0.9575689929495553
36670,2521,504201_mpc,503801_mpc,26.5,26.25,0.25,-23.0,0.864905013608657
6206,7751,511603_mec,511303_mec,16.25,10.0,6.25,19.0,0.9192543945777288
8611,12829,507601_mpc,507701_mpc,21.0,23.75,-2.75,10.0,0.9645261381105279
23093,3127,508101_mpc,507601_mpc,20.0,18.75,1.25,8.0,0.9500021764908586
19570,8903,505602_bpc,505802_bpc,63.75,57.5,6.25,0.0,0.9560033133534761
23803,11084,513704_cec,511802_bpc,30.0,30.25,-0.25,-17.0,0.8123654158673547
11900,23622,503102_bpc,503202_bpc,53.75,69.5,-15.75,-12.0,0.8732912197748146
3668,19565,505701_mpc,505101_mpc,68.75,96.5,-27.75,-20.0,0.962051067819297
27955,20849,503801_mpc,503101_mpc,47.25,53.25,-6.0,7.0,0.7860163156388691
22705,20334,513904_cec,513704_cec,23.75,23.75,0.0,6.0,0.9013191058002419
26713,23913,511702_bpc,511801_mpc,54.5,55.0,-0.5,4.0,0.898782571920031
34924,9009,510102_bpc,512201_mpc,59.5,66.25,-6.75,14.0,0.8929624204857919
4376,6822,509401_mpc,501904_cec,37.25,27.25,10.0,-4.0,0.5133122347941412
36746,9997,505601_mpc,506502_bpc,2.5,19.25,-16.75,-43.0,0.9350526055917958
5860,23843,502004_cec,502005_hec,20.0,11.75,8.25,15.442871,0.9379231870896789
11328,37249,511303_mec,511604_cec,30.0,22.75,7.25,1.0,0.8164311505272068
2015,32395,514701_mpc,511702_bpc,33.75,36.25,-2.5,5.0,0.7060938360858379
6148,15291,502102_bpc,501502_bpc,19.0,16.25,2.75,-13.0,0.9747324615672187
25572,19451,503001_mpc,502801_mpc,98.75,89.25,9.5,-2.0,0.9912519295883347
13409,22387,503001_mpc,502701_mpc,26.25,33.75,-7.5,-10.0,0.8767053436031264
