,pair_id,pair_bin,student_id,candidate_id_68k,gtot,college_attended,englishmarks_12,gtot_dm,englishmarks_12_dm
99,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010037975,2010037975,897.0,501502_bpc,91.0,-22.66666666666663,3.444444444444443
100,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010010830,2010010830,951.0,501502_bpc,93.0,31.33333333333337,5.444444444444443
101,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010011358,2010011358,917.0,501802_bpc,84.0,-2.6666666666666288,-3.555555555555557
102,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010012843,2010012843,861.0,501502_bpc,81.0,-58.66666666666663,-6.555555555555557
103,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_15_19,2010047626,2010047626,907.0,501502_bpc,80.0,117.0,-3.1666666666666714
104,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_15_19,2010018432,2010018432,648.0,501903_mec,82.0,-142.0,-1.1666666666666714
105,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_15_19,2010020401,2010020401,909.0,501502_bpc,93.0,119.0,9.833333333333329
106,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_15_19,2010037548,2010037548,509.0,501903_mec,58.0,-281.0,-25.16666666666667
107,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_15_19,2010026518,2010026518,852.0,501502_bpc,91.0,62.0,7.833333333333329
108,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_15_19,2010013397,2010013397,915.0,501502_bpc,95.0,125.0,11.833333333333329
109,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_24,2010014116,2010014116,711.0,501903_mec,89.0,-123.20000000000005,0.4000000000000057
110,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_24,2010048560,2010048560,938.0,501502_bpc,90.0,103.79999999999995,1.4000000000000057
111,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_24,2010012955,2010012955,905.0,501502_bpc,95.0,70.79999999999995,6.400000000000006
