specification,college_code,value_added,std_error,t_value,p_value,ci_lower,ci_upper,sig,baseline_college
attempt_1,502005_hec,-12.016268117224216,1.0547098229416505,-11.392961225780667,4.533171539570429e-30,-14.08346138433047,-9.949074850117963,***,501502_bpc
attempt_1,514402_bpc,-12.21380895413359,2.3516917339862022,-5.193626689085964,2.0623648468116066e-07,-16.823040055487095,-7.604577852780085,***,501502_bpc
attempt_1,508501_mpc,-12.30208742590363,1.6238152097142122,-7.576039042071031,3.562646374256879e-14,-15.484706754491842,-9.11946809731542,***,501502_bpc
attempt_1,503302_bpc,-12.376412949052673,1.7949772135742188,-6.8950251041952475,5.385529173754396e-12,-15.894503640728203,-8.858322257377143,***,501502_bpc
attempt_1,507601_mpc,-12.540588424053599,1.8503987519946041,-6.777235669087918,1.2249698598408621e-11,-16.167303335000888,-8.913873513106312,***,501502_bpc
attempt_1,513201_mpc,-12.56516254043625,1.620208716741987,-7.75527400303279,8.815293329206216e-15,-15.740713272688403,-9.389611808184096,***,501502_bpc
attempt_1,508301_mpc,-12.711053792953928,1.57783912194172,-8.055988482090275,7.883905766526177e-16,-15.803561645358002,-9.618545940549854,***,501502_bpc
attempt_1,505301_mpc,-12.886700158635307,1.4827624236732477,-8.691008048822198,3.592375873400232e-18,-15.792861106664194,-9.98053921060642,***,501502_bpc
attempt_1,505302_bpc,-13.117884725002549,1.4989041141426136,-8.751650356571403,2.1025497123527455e-18,-16.055682805000984,-10.180086645004112,***,501502_bpc
attempt_1,514701_mpc,-13.151121662709178,1.615626133959127,-8.139953536454668,3.9542961800113165e-16,-16.317690697750752,-9.984552627667604,***,501502_bpc
attempt_1,508904_cec,-13.289550932151007,1.677101341061116,-7.924119197080003,2.297691406246773e-15,-16.57660915905462,-10.002492705247395,***,501502_bpc
attempt_1,503001_mpc,-13.429398826884922,1.5665952625713453,-8.57234740059309,1.0139666598404878e-17,-16.49986911987583,-10.358928533894016,***,501502_bpc
attempt_1,513903_mec,-13.569844003283,1.7759023987886453,-7.641097851176439,2.153772952343319e-14,-17.050548744967035,-10.089139261598968,***,501502_bpc
attempt_1,514302_bpc,-13.583604030716586,2.260436330424975,-6.009284069577307,1.863443690534552e-09,-18.013977827695417,-9.153230233737755,***,501502_bpc
attempt_1,511801_mpc,-13.695841144279175,1.6318282850767507,-8.392942608930824,4.7412307958221924e-17,-16.894165811983367,-10.497516476574983,***,501502_bpc
attempt_1,513904_cec,-13.718071507820975,1.6912941258032286,-8.11099104439093,5.020855637445134e-16,-17.032947081659458,-10.403195933982492,***,501502_bpc
attempt_1,503002_bpc,-13.770326733626536,1.5005859277989855,-9.176633259399173,4.447800074508997e-20,-16.71142110782017,-10.829232359432902,***,501502_bpc
attempt_1,502505_hec,-13.813899453618564,1.5551820829185765,-8.882496529084438,6.537628768219849e-19,-16.862000325540958,-10.76579858169617,***,501502_bpc
attempt_1,513403_mec,-14.078230681474645,2.004315403309241,-7.023959731203317,2.1566699021018913e-12,-18.00661668561963,-10.149844677329659,***,501502_bpc
attempt_1,503301_mpc,-14.256961450041448,1.8265552686025086,-7.805381909384764,5.932162796782146e-15,-17.83694399227425,-10.676978907808646,***,501502_bpc
attempt_1,507904_cec,-14.274053193564246,1.7073277863658438,-8.360464409676995,6.247184297384927e-17,-17.620354164645796,-10.927752222482697,***,501502_bpc
