college_code,value_added,std_error,p_value
507502_bpc,0.7450423195291813,0.33224365438547465,0.024931810415335168
507601_mpc,-2.398563288977681,0.5600373553185749,1.845037508873979e-05
507602_bpc,-0.8122504719450306,0.4112044171120982,0.048234558185935736
507701_mpc,0.040787665596204226,0.44880937270661964,0.9275881726128407
507702_bpc,-0.1791556381782087,0.3875969105628171,0.643922463050501
507801_mpc,0.5962340694182088,0.46785986977450933,0.20252665037388673
507802_bpc,2.2352600232245114,0.3873547663468862,7.900113973876865e-09
507904_cec,-0.4590226855500835,0.7882207076180039,0.5603289397155082
508001_mpc,-2.1654281748036923,0.5434446138507988,6.758405978898723e-05
508002_bpc,-1.5439758278982039,0.36475987498854123,2.3074281095512114e-05
508101_mpc,1.1541510387631524,0.3635009710428691,0.0014978614269154351
508102_bpc,-1.1198666270955429,0.39705704111380463,0.004796120432741555
508201_mpc,0.12100937356432007,0.3912953669001904,0.75712887135777
508202_bpc,0.5482340444738998,0.3518316186616635,0.1191790986108109
508301_mpc,-1.0355779041128887,0.4126297135354169,0.012083284614911231
508302_bpc,-3.302250860009554,0.4172939780017687,2.502761048290013e-15
508401_mpc,0.12476777165385101,0.3354382659428143,0.7099267282429618
508402_bpc,-1.2113809182209458,0.45997589988986626,0.008449123387701162
508501_mpc,-1.15094974531421,0.38452347443335105,0.002760826954416692
508502_bpc,0.043049546746727604,0.38611717929855477,0.911225038162206
508701_mpc,1.9558017435919224,0.39867594763357567,9.307432445544384e-07
508702_bpc,3.412261778390841,0.5691092036499015,2.0249308003732386e-09
508801_mpc,0.7636900795674918,0.4358633343640811,0.07975111934655799
508802_bpc,-0.6571179997349665,0.5455381531769713,0.22838413684912273
508903_mec,-1.2342697023809532,0.9914709652575558,0.21317314668607934
508904_cec,-2.524509536892362,1.123817169156439,0.02468029760813578
509001_mpc,-0.06950523765039354,0.37181579101372014,0.8517119073404364
509002_bpc,1.9156114587425461,0.4774012055957776,6.00582200101979e-05
509104_cec,-5.52494258030712,1.9991416130104385,0.0057157511655483535
509105_hec,-7.1625747395833335,3.0989419425280897,0.02081646408624509
509201_mpc,-0.7355085685962126,0.41026918473854457,0.07301349735298727
509202_bpc,-0.7104761825530548,0.4389174374664118,0.10551156865605565
509301_mpc,-0.32061100555194944,0.4013624939079257,0.424402568133912
509302_bpc,0.7202259760634631,0.4440016066977391,0.10477664901602307
509401_mpc,1.8486272163656468,0.43426227232543946,2.072465510004059e-05
509402_bpc,0.6706284632693199,0.35822281045661075,0.061192947704990765
509501_mpc,0.6518862554112556,0.3939737577153351,0.09799676304398096
509502_bpc,-0.4434898854188153,0.3802020322249655,0.24342912536103944
510101_mpc,2.159957951697425,0.943228691903007,0.022023514051453728
510102_bpc,0.26435133195199795,0.8670711978859418,0.7604587212930137
511201_mpc,0.12136199338295992,0.5485955671968298,0.8249187500658873
511202_bpc,-0.8041743617840502,0.7713648568784356,0.2971640071732824
511303_mec,1.207693539917811,0.6756190569203836,0.07385086234009632
511304_cec,0.06997708228905576,0.5637012779585386,0.9012055434068273
511401_mpc,2.687354294798241,0.7154426575882937,0.00017250457994661634
511402_bpc,-1.3461028995778994,0.6797668467533013,0.04767633604176054
511603_mec,-0.4626221848607738,0.703836305248609,0.5109966392740466
511604_cec,0.6269519326784319,0.5303040456574917,0.23710653745928645
