college_stream,value_added,std_error,t_value,p_value,ci_lower,ci_upper,college_code,stream,sig
505902_bpc_bpc,-5.409635245830699,0.9170166991393844,-5.899167649735947,3.6533987730024927e-09,-7.206954949365695,-3.6123155422957027,505902_bpc,bpc,***
508102_bpc_bpc,-5.5198369650384,1.1109819994285142,-4.968430602726046,6.749694727866488e-07,-7.697321671390586,-3.3423522586862133,508102_bpc,bpc,***
505402_bpc_bpc,-5.59868533369948,0.9047721412443973,-6.187950621467203,6.09514132500517e-10,-7.372006144753685,-3.8253645226452746,505402_bpc,bpc,***
505502_bpc_bpc,-5.664885831079237,0.8547901094605116,-6.627224354121912,3.420575561032501e-11,-7.340243659962891,-3.989528002195584,505502_bpc,bpc,***
508502_bpc_bpc,-5.838602973389957,0.8668062167740246,-6.735764996148008,1.6306966788276786e-11,-7.537511939842464,-4.13969400693745,508502_bpc,bpc,***
507202_bpc_bpc,-5.952127577713594,1.2328467827545904,-4.827954017460757,1.3794293342904152e-06,-8.368462870368667,-3.535792285058521,507202_bpc,bpc,***
511304_cec_cec,-5.9611774797722,0.9636051382622881,-6.186328033204821,6.158179450261783e-10,-7.849808846084024,-4.072546113460376,511304_cec,cec,***
504001_mpc_mpc,-6.049401487727827,1.0395534232787245,-5.819230981557611,5.911899053527036e-09,-8.086888757359448,-4.011914218096205,504001_mpc,mpc,***
508802_bpc_bpc,-6.324569208237206,1.0066379035414994,-6.282864161965733,3.3239147999109427e-10,-8.29754324465145,-4.351595171822962,508802_bpc,bpc,***
507702_bpc_bpc,-6.336006797525263,1.0382185393362504,-6.102767921651614,1.0424715790535704e-09,-8.370877742706096,-4.301135852344431,507702_bpc,bpc,***
505701_mpc_mpc,-6.5156025222882334,1.0415923472529987,-6.255424724914592,3.9643552294417395e-10,-8.557086009476649,-4.474119035099818,505701_mpc,mpc,***
508402_bpc_bpc,-6.579885167376184,0.7818051748891212,-8.416272210412743,3.8865363191231036e-17,-8.1121951530859,-5.047575181666469,508402_bpc,bpc,***
505802_bpc_bpc,-6.701596670851415,0.9954259039728167,-6.732391275036,1.668970948363574e-11,-8.652595591916361,-4.7505977497864675,505802_bpc,bpc,***
509402_bpc_bpc,-6.717936589130524,0.7429985326983299,-9.041655257020704,1.5431709288000453e-19,-8.174186953785355,-5.2616862244756915,509402_bpc,bpc,***
511201_mpc_mpc,-6.902272346174144,1.0777623368683062,-6.404261969508354,1.5109848126726924e-10,-9.01464771032975,-4.789896982018539,511201_mpc,mpc,***
510101_mpc_mpc,-6.903828316317086,1.199411861557603,-5.756011373233799,8.6124585727021e-09,-9.254632367600129,-4.553024265034043,510101_mpc,mpc,***
502802_bpc_bpc,-6.981057713594946,0.9021848881583953,-7.7379457417483275,1.010359451413888e-14,-8.749307601781696,-5.212807825408194,502802_bpc,bpc,***
508002_bpc_bpc,-7.169984796914578,1.081384624250748,-6.630374277683482,3.348367591301942e-11,-9.289459713881424,-5.050509879947732,508002_bpc,bpc,***
513504_cec_cec,-7.213961564846339,1.0043690813109336,-7.182580287547734,6.840786350171137e-13,-9.182488791401349,-5.245434338291328,513504_cec,cec,***
