candidate_id_68k,marks,gtot,allotted_JC_code,pair_bin_1,pair_bin_2,pair_bin_3,pair_bin_4,pair_bin_5,pair_bin_6,pair_bin_7,pair_bin_8,pair_bin_9,pair_bin_10,pair_bin_11,pair_bin_12,pair_bin_13,pair_bin_14,pair_bin_15,pair_bin_16,pair_bin_17,pair_bin_18,pair_bin_19,englishmarks_12,marks12th,dob_year,age,female,social_category,region,minority,religion,english_medium_10,english_medium_9,school_type_9,school_type_10,type,appliedforJC,result,address_pincode,address_mandalname,address_district,coll_code_went,got_into_JC,TSJC,intermediatecollegecode,sixdigitcode,coll_code,institution,is_income,maxtot,th_mrk,pr_mrk,tot_mrk
2010000080,30,354.0,,,,,,,,,,,,,,,,,,,,,50.0,35.4,2005.0,15.0,0.0,BC,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GR,GR,,1.0,F,509127,IEEJA,JOGULAMBA(GADWAL),53217.0,0.0,0.0,,,53217.0,,Y,1000,090,0,090
2010000081,31.5,835.0,,,,,,,,,,,,,,,,,,,,,68.55713,83.5,2003.0,17.0,1.0,SC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,Arts,1.0,1,509205,DHANWADA,MAHBUBNAGAR,56024.0,0.0,1.0,56024.0,505203,56024.0,,Y,1000,,,
2010000087,17.5,458.0,505204_CEC,505204_cecx505401_mpc.1__marks_10_19,505204_cecx506904_cec.1__marks_10_19,,,,,,,,,,,,,,,,,,50.0,45.8,2004.0,16.0,1.0,SC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,Arts,1.0,F,509205,DHANWADA,MAHBUBNAGAR,56024.0,1.0,1.0,56024.0,505203,56024.0,ramireddigudem,Y,1000,063,0,063
2010000088,10.25,822.0,,,,,,,,,,,,,,,,,,,,,64.0,82.2,2004.0,16.0,0.0,ST,ADILABAD,0.0,HINDU,1.0,1.0,ZPHS,ZPHS,,1.0,1,504292,REBBENA,KOMARAMBHEEM(ASIFABAD),58428.0,0.0,0.0,,,58428.0,,Y,1000,070,0,070
2010000090,41.25,875.0,,,,,,,,,,,,,,,,,,,,,74.0,87.5,2005.0,15.0,0.0,SC,NIZAMABAD,0.0,HINDU,0.0,0.0,ZPHS,ZPHS,,1.0,1,503124,LINGAMPET,KAMAREDDY,46204.0,0.0,0.0,,,46204.0,,Y,1000,093,0,093
2010000094,17.5,642.0,,,,,,,,,,,,,,,,,,,,,74.0,64.2,2004.0,16.0,0.0,BC,NIZAMABAD,0.0,HINDU,1.0,1.0,TSWR,TSWR,,1.0,1,503305,JUKKAL,KAMAREDDY,45016.0,0.0,0.0,,,45016.0,,Y,1000,045,0,045
2010000095,25,728.0,512602_BPC,512501_mpcx512602_bpc.1__marks_20_29,512502_bpcx512602_bpc.1__marks_20_29,512601_mpcx512602_bpc.1__marks_20_29,512602_bpcx512702_bpc.1__marks_20_29,,,,,,,,,,,,,,,,86.0,72.8,2005.0,15.0,0.0,SC,KHAMMAM,0.0,HINDU,0.0,0.0,ZPHS,ZPHS,Science,1.0,1,507209,KALLUR,KHAMMAM,44019.0,1.0,1.0,44019.0,512601,44019.0,"tswrs/jc(b), dammapeta",Y,1000,076,0,076
2010000096,48.75,805.0,,,,,,,,,,,,,,,,,,,,,68.55713,80.5,2004.0,16.0,1.0,SC,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GR,GR,Arts,1.0,1,509001,MAHABUBANAGAR (URBAN),MAHBUBNAGAR,56024.0,0.0,1.0,56024.0,505203,56024.0,,Y,1000,,,
2010000097,41.25,553.0,,,,,,,,,,,,,,,,,,,,,77.0,55.3,2005.0,15.0,0.0,BC,NALGONDA,0.0,HINDU,1.0,1.0,GO,GO,,1.0,2,508248,DEVARAKONDA,NALGONDA,50007.0,0.0,0.0,,,50007.0,,Y,1000,070,0,070
2010000100,31.25,619.0,512104_CEC,,,,,,,,,,,,,,,,,,,,81.0,61.9,2004.0,16.0,0.0,BC,WARANGAL,0.0,HINDU,1.0,1.0,GA,GA,Arts,1.0,1,506002,KHILA WARANGAL,WARANGAL (URBAN),39014.0,1.0,1.0,39014.0,512104,39014.0,"tswrs/jc (b), narsampet",Y,1000,080,0,080
2010000101,13.75,571.0,,,,,,,,,,,,,,,,,,,,,68.0,57.1,2005.0,15.0,0.0,BC,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GR,GR,,1.0,2,509127,IEEJA,JOGULAMBA(GADWAL),53217.0,0.0,0.0,,,53217.0,,Y,1000,096,0,096
2010000102,33.75,763.0,,,,,,,,,,,,,,,,,,,,,83.0,76.3,2005.0,15.0,0.0,BC,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GR,GR,,1.0,1,509001,MAHABUBANAGAR (URBAN),MAHBUBNAGAR,56213.0,0.0,0.0,,,56213.0,,Y,1000,095,0,095
2010000103,32,825.0,,,,,,,,,,,,,,,,,,,,,74.0,82.5,2004.0,16.0,1.0,BC,NIZAMABAD,0.0,HINDU,1.0,1.0,GO,GO,,1.0,1,503308,KAMMARPALLY,NIZAMABAD,30014.0,0.0,0.0,,,30014.0,,Y,1000,064,0,064
2010000104,27.75,789.0,,,,,,,,,,,,,,,,,,,,,74.0,78.9,2004.0,16.0,0.0,BC,KHAMMAM,0.0,HINDU,1.0,1.0,GR,GR,,1.0,1,507003,KHAMMAM URBAN,KHAMMAM,43250.0,0.0,0.0,,,43250.0,,Y,1000,097,0,097
